Site_Name,Lat,Long,Station_Type,Data availability,Notes
Blackwood 2,39.111167,-120.186889,Stream & terrestrial ,1-2 months (approx.),
Glenbrook 2,39.08588889,-119.9220278,Stream & terrestrial ,Real time,
