Site_Name,Lat,Long,Station_Type,Data availability,Notes
UNR Tahoe Campus,39.243064,-119.940336,Terrestrial,Real time,
Blackwood 1,39.107385,-120.1621147,USGS Station,Real time,
Blackwood 2,39.111167,-120.186889,Stream & terrestrial ,1-2 months (approx.),
Glenbrook 1,39.0881,-119.9391,USGS Station & terrestrial ,Real time,
Glenbrook 2,39.08588889,-119.9220278,Stream & terrestrial ,Real time,
Glenbrook 4,39.09344,-119.9015,Terrestrial,Real time,
Glenbrook 5,39.07463889,-119.89125,Terrestrial,Real time,
